category,c-upper,subcategory-1,sc-upper,subcategory-2,sc2-upper,name,name-upper,articul,color,size,,,image-src
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-10,Черный,30х13 см,,,http://velmode.by/media/k2/items/cache/24051f1a73d7ccf80aa0e781a6178da9_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-11,Черный,см,,,http://velmode.by/media/k2/items/cache/eb9b7452cdc806568d2312ea5614a301_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-2,Черный,11х6 см,,,http://velmode.by/media/k2/items/cache/4effff5398b13b476604d4d8450bedfd_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-3,Черный,17х5 см,,,http://velmode.by/media/k2/items/cache/8b072d4f47fa16702f8c7356d2c88ee8_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-4,Черный,16х16 см,,,http://velmode.by/media/k2/items/cache/0555bbe9368a05bff51437bdc1ff702e_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-5,Черный,"27,5 см",,,http://velmode.by/media/k2/items/cache/83a9554230ed6e6cccfe522a2a4bd53e_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-6,Черный,38 см,,,http://velmode.by/media/k2/items/cache/9ad74ebcc3d83e86bcc0098026ed5e9f_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-7,Синий,"2,5х2,5 см",,,http://velmode.by/media/k2/items/cache/b48f2c03bbd159814922841bfb3fe7d7_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-8,Золото,"2,5х4,7 см",,,http://velmode.by/media/k2/items/cache/983fb56032c1ac1b726360eae9dd3d18_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-9,Бронза,25 см,,,http://velmode.by/media/k2/items/cache/a28321ba8f3530fc856783a3123dd44c_L.jpg
Застёжки,ЗАСТЁЖКИ,Кожа,КОЖА,,,Застежка,ЗАСТЕЖКА,ЗК-1,Коричневый,"9х2,5 см",,,http://velmode.by/media/k2/items/cache/15d406f06ce12f2ac57cb5137d1afc69_L.jpg
